19970	AKATSUKI EAZIMA CO.,LTD.	0112	011	
199A0	Mediair corporation	0105	011	
20010	NIPPN CORPORATION	0111	011	
20020	NISSHIN SEIFUN GROUP INC.	0111	011	
20030	NITTO FUJI FLOUR MILLING CO.,LTD.	0112	011	
20040	Showa Sangyo Co.,Ltd.	0111	011	
20090	THE TORIGOE CO.,LTD.	0112	011	
200A0	NEXT FUNDS Nikkei Semiconductor Stock Index Exchange Traded Fund	0109	014	
20110	SMDAM Active ETF Japan High Dividend Equity	0109	014	
20120	iShares 0-3 Month US Treasury Bond ETF	0109	014	
20130	iShares US High Dividend ETF	0109	014	
20140	iShares US Dividend Growth ETF	0109	014	
20150	iFreeETF US Treasury Bond 7-10 Year (NON HEDGED)	0109	014	
20160	iFreeETF US Treasury Bond 7-10 Year (JPY HEDGED)	0109	014	
20170	iFreeETF JPX Prime 150	0109	014	
20180	Global X US REIT Top 20 ETF	0109	014	
20190	Global X U.S. Preferred Security ETF (Bi-monthly dividend type)	0109	014	
201A0	iShares Nifty 50 ETF	0109	014	
20310	NEXT NOTES HSI Leveraged ETN	0109	023	
20320	NEXT NOTES HSI Short ETN	0109	023	
20330	NEXT NOTES KOSPI200 Leverage ETN	0109	023	
20340	NEXT NOTES F-KOSPI200 Inverse ETN	0109	023	
20360	NEXT NOTES Gold Futures Double Bull ETN	0109	023	
20370	NEXT NOTES Gold Futures Bear ETN	0109	023	
20380	NEXT NOTES Dubai Crude Oil Futures Double Bull ETN	0109	023	
20390	NEXT NOTES Dubai Crude Oil Futures Bear ETN	0109	023	
203A0	Shunbin Co.,Ltd.	0105	011	
20400	NEXT NOTES DJIA PR JPY-Monthly Hedged Leveraged (x2) ETN	0109	023	
20410	NEXT NOTES DJIA TR JPY-Monthly Hedged Inverse (x1) ETN	0109	023	
20420	NEXT NOTES Tokyo Stock Exchange Growth Market 250 Index ETN	0109	023	
20430	NEXT NOTES STOXX ASEAN-Five Select Dividend 50(NR-JPY) ETN	0109	023	
20440	NEXT NOTES S&P 500 Dividend Aristocrats Net Total Return Index ETN	0109	023	
20450	NEXT NOTES S&P Singapore REIT Net Total Return Index ETN	0109	023	
20460	NEXT NOTES Nifty PR 2x Leverage Index ETN	0109	023	
20470	NEXT NOTES Nifty Total Returns(TR) Daily Inverse Index ETN	0109	023	
20480	NEXT NOTES Nomura Japan Equity High Dividend 70,Net Total Return US Dollar Hedged Index ETN	0109	023	
204A0	TaiyoPackage Co.,Ltd.	0105	011	
20500	NEXT NOTES Niche Top Mid Small Cap Japan Equity, Net Total Return ETN	0109	023	
20530	CHUBU SHIRYO CO.,LTD.	0111	011	
20550	NICHIWA SANGYO CO.,LTD.	0112	011	
205A0	LOGOS HOLDINGS INC.	0113	011	
20600	FEED ONE CO.,LTD.	0111	011	
20650	NEXT NOTES S&P/JPX Dividend Aristocrats Index USD Hedged NTR ETN	0109	023	
20660	NEXT NOTES Tokyo Stock Exchange REIT Net Total Return US Dollar Hedged Index ETN	0109	023	
20670	NEXT NOTES AI Companies 70,Net Total Return ETN	0109	023	
20680	NEXT NOTES Japan Equity High Beta Select 30,Net Total Return ETN	0109	023	
20690	NEXT NOTES Japan Equity Low Beta Select 50,Net Total Return ETN	0109	023	
206A0	PRISM BioLab Co.,LTD	0113	011	
20700	Smart ESG 30 Empowering Women Net Return ETN	0109	023	
20710	Smart ESG 30 Net Return ETN	0109	023	
20720	Market Share Leaders Net Return ETN	0109	023	
20730	Smart ESG 30 Low Carbon Risk Net Return ETN	0109	023	
207A0	Rising Corporation Inc.	0105	011	
20800	PBR Improvement over 1x ETF	0109	014	
20810	Strategic Shareholding Disposal Promotion ETF	0109	014	
20820	Investor-Management Unite as One ETF	0109	014	
20830	NEXT FUNDS Japan Growth Equity Active Exchange Traded Fund	0109	014	
20840	NEXT FUNDS Japan High Dividend Equity Active Exchange Traded Fund	0109	014	
20850	MAXIS High Dividend Japan Equity Actively Managed ETF	0109	014	
20860	NZAM ETF S&P500 (JPY Hedged)	0109	014	
20870	NZAM ETF NASDAQ100 (JPY Hedged)	0109	014	
20880	NZAM ETF NY Dow30 (JPY Hedged)	0109	014	
20890	NZAM ETF DAX (JPY Hedged)	0109	014	
208A0	KOZO KEIKAKU ENGINEERING HOLDINGS Inc.	0112	011	
20900	NZAM ETF US Treasury 7-10Y (JPY Hedged)	0109	014	
20910	NZAM ETF German Government Bond 7-10Y (JPY Hedged)	0109	014	
20920	NZAM ETF France Government Bond 7-10Y (JPY Hedged)	0109	014	
20930	Listed Tracers US Government Bond 0-2years Ladder (No Currency Hedge)	0109	014	
20940	TSE REIT Inverse ETF	0109	014	
20950	Global X S&P 500 Dividend Aristocrats ETF (JPY Hedged)	0109	014	
20960	Global X Office J-REIT ETF	0109	014	
20970	Global X Residential J-REIT ETF	0109	014	
20980	Global X Hotel & Retail J-REIT ETF	0109	014	
209A0	Onodani Machine Co.Ltd	0105	011	
21080	Nippon Beet Sugar Manufacturing Co.,Ltd.	0111	011	
21090	Mitsui DM Sugar Co.,Ltd.	0111	011	
210A0	iFreeETF Nikkei High Yield REIT Index	0109	014	
21120	Ensuiko Sugar Refining Co.,Ltd.	0112	011	
21140	Fuji Nihon Corporation	0112	011	
21170	WELLNEO SUGAR Co.,Ltd.	0111	011	
211A0	Cados Corporation	0112	011	
21200	LIFULL Co.,Ltd.	0111	011	
21210	MIXI,Inc.	0111	011	
21220	Interspace Co.,Ltd.	0112	011	
21240	JAC Recruitment Co.,Ltd.	0111	011	
21270	Nihon M&A Center Holdings Inc.	0111	011	
212A0	FIT EASY Inc.	0111	011	
21300	Members Co.,Ltd.	0111	011	
21340	Kitahama Capital Partners Co.,Ltd.	0112	011	
21360	HIP CORPORATION	0112	011	
21380	CROOZ,Inc.	0112	011	
21390	CHUCO CO.,LTD.	0112	011	
213A0	Listed Index Fund Nikkei Semiconductor Stock	0109	014	
21460	UT Group Co.,Ltd.	0111	011	
21480	ITmedia Inc.	0111	011	
21520	Youji Corporation	0112	011	
21530	E・J Holdings Inc.	0111	011	
21540	Open Up Group Inc.	0111	011	
21560	SAYLOR ADVERTISING INC.	0112	011	
21570	KOSHIDAKA HOLDINGS Co.,LTD.	0111	011	
21580	FRONTEO,Inc.	0113	011	
215A0	Timee,Inc.	0113	011	
21600	GNI Group Ltd.	0113	011	
21620	nms Holdings Corporation	0112	011	
21630	ARTNER CO.,LTD.	0111	011	
21640	CHIIKISHINBUNSHA CO.,LTD.	0112	011	
21680	Pasona Group Inc.	0111	011	
21690	CDS Co.,Ltd.	0112	011	
216A0	Life create Co.,Ltd	0105	011	
21700	Link and Motivation Inc.	0111	011	
21730	Hakuten Corporation	0113	011	
21750	SMS CO.,LTD.	0111	011	
21790	SEIGAKUSHA CO.,LTD.	0112	011	
217A0	SUPPORT Co.,Ltd.	0105	011	
21800	SUNNY SIDE UP GROUP Inc.	0112	011	
